"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr","pred"
"1","0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,47,13748,8,1,94.9555881375416
"2","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,33,13749,8,1,51.738691773825
"3","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,13,13750,8,1,37.9789932859922
"4","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,7,13751,8,1,17.5842802882684
"5","4",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,4,13752,8,1,9.36285378896583
"6","5",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,49,13753,8,1,33.203824583981
"7","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1343,185,13754,8,1,122.689432949863
"8","7",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.1343,487,13755,8,1,307.914533216432
"9","8",FALSE,TRUE,"Misty",0.66,0.6061,0.78,0.194,681,13756,8,1,493.554759198021
"10","9",FALSE,TRUE,"Misty",0.68,0.6364,0.74,0.0896,350,13757,8,1,309.669217019969
"11","10",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.0896,236,13758,8,1,272.400027660057
"12","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,234,13759,8,1,305.463819003255
"13","12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1045,284,13760,8,1,360.477882149391
"14","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.1642,280,13761,8,1,349.147727623379
"15","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,263,13762,8,1,340.781728762819
"16","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,295,13763,8,1,348.684631422056
"17","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,479,13764,8,1,449.149215023095
"18","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,837,13765,8,1,701.587181819918
"19","18",FALSE,TRUE,"Light Precipitation",0.76,0.7121,0.62,0.2239,891,13766,8,1,520.555371508988
"20","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,652,13767,8,1,517.648227135593
"21","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,513,13768,8,1,403.613646927295
"22","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,320,13769,8,1,308.069431944792
"23","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,288,13770,8,1,230.360786135062
"24","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,152,13771,8,1,158.61158953157
"25","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,63,13772,8,1,98.2250406760949
"26","1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,42,13773,8,1,53.1521772556819
"27","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,11,13774,8,1,37.8619428559738
"28","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,6,13775,8,1,17.5249400100091
"29","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,9,13776,8,1,8.80889968378209
