"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"1","0",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0,149,13004,7,1
"2","1",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.1343,93,13005,7,1
"3","2",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.0896,90,13006,7,1
"4","3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,33,13007,7,1
"5","4",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,4,13008,7,1
"6","5",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,10,13009,7,1
"7","6",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.0896,27,13010,7,1
"8","7",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0,50,13011,7,1
"9","8",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1045,142,13012,7,1
"10","9",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0,219,13013,7,1
"11","10",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.44,0.2985,366,13014,7,1
"12","11",FALSE,FALSE,"Clear to partly cloudy",0.88,0.803,0.39,0.2239,377,13015,7,1
"13","12",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.2239,433,13016,7,1
"14","13",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2537,420,13017,7,1
"15","14",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2537,444,13018,7,1
"16","15",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.2836,345,13019,7,1
"17","16",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2985,313,13020,7,1
"18","17",FALSE,FALSE,"Clear to partly cloudy",0.92,0.803,0.26,0.2985,413,13021,7,1
"19","18",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7727,0.32,0.3582,370,13022,7,1
"20","19",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.1343,382,13023,7,1
"21","20",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.1343,332,13024,7,1
"22","21",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.1343,258,13025,7,1
"23","22",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7424,0.43,0.1343,151,13026,7,1
"24","23",FALSE,FALSE,"Light Precipitation",0.78,0.7121,0.52,0.1642,110,13027,7,1
"25","0",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.2239,43,13028,7,1
"26","1",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.194,17,13029,7,1
"27","2",FALSE,TRUE,"Misty",0.74,0.6667,0.51,0.2537,15,13030,7,1
"28","3",FALSE,TRUE,"Misty",0.72,0.6667,0.54,0.4179,5,13031,7,1
"29","4",FALSE,TRUE,"Misty",0.72,0.6667,0.54,0.2985,12,13032,7,1
"30","5",FALSE,TRUE,"Misty",0.72,0.6667,0.51,0,40,13033,7,1
"31","6",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1045,136,13034,7,1
"32","7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1045,398,13035,7,1
"33","8",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.52,0.194,568,13036,7,1
"34","9",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.46,0.2537,295,13037,7,1
"35","10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.43,0.2537,174,13038,7,1
"36","11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.28,0.2985,201,13039,7,1
"37","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.194,257,13040,7,1
"38","13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.2239,236,13041,7,1
"39","14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.2239,230,13042,7,1
"40","15",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7424,0.36,0.194,234,13043,7,1
"41","16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7424,0.36,0.2836,365,13044,7,1
"42","17",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.1343,747,13045,7,1
"43","18",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.1642,730,13046,7,1
"44","19",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.43,0.1343,581,13047,7,1
"45","20",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.43,0.1343,395,13048,7,1
"46","21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.45,0.1343,258,13049,7,1
"47","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1642,188,13050,7,1
"48","23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1045,102,13051,7,1
"49","0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0,53,13052,7,1
"50","1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,14,13053,7,1
"51","2",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,10,13054,7,1
"52","3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.1343,2,13055,7,1
"53","4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0.1045,6,13056,7,1
"54","5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0,35,13057,7,1
"55","6",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.1343,154,13058,7,1
"56","7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0,483,13059,7,1
"57","8",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.0896,646,13060,7,1
"58","9",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,272,13061,7,1
"59","10",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.43,0.2239,209,13062,7,1
"60","11",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.194,217,13063,7,1
"61","12",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7576,0.28,0.194,272,13064,7,1
"62","13",FALSE,TRUE,"Clear to partly cloudy",0.9,0.7727,0.25,0.1343,283,13065,7,1
"63","14",FALSE,TRUE,"Clear to partly cloudy",0.9,0.7727,0.25,0.194,310,13066,7,1
"64","15",FALSE,TRUE,"Misty",0.9,0.7727,0.24,0,401,13067,7,1
"65","16",FALSE,TRUE,"Misty",0.9,0.7727,0.24,0.194,527,13068,7,1
"66","17",FALSE,TRUE,"Misty",0.86,0.7424,0.3,0.1642,722,13069,7,1
"67","18",FALSE,TRUE,"Misty",0.86,0.7424,0.3,0,627,13070,7,1
"68","19",FALSE,TRUE,"Misty",0.84,0.7424,0.36,0.1343,497,13071,7,1
"69","20",FALSE,TRUE,"Light Precipitation",0.76,0.697,0.55,0.4925,376,13072,7,1
"70","21",FALSE,TRUE,"Misty",0.7,0.6515,0.7,0.2836,196,13073,7,1
"71","22",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.194,177,13074,7,1
"72","23",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,171,13075,7,1
"73","0",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.0896,159,13076,7,1
"74","1",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.74,0,123,13077,7,1
"75","2",TRUE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,93,13078,7,1
"76","3",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.74,0.194,32,13079,7,1
"77","4",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.69,0.2537,16,13080,7,1
"78","5",TRUE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0,19,13081,7,1
"79","6",TRUE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0,32,13082,7,1
"80","7",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.65,0,72,13083,7,1
"81","8",TRUE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1045,153,13084,7,1
"82","9",TRUE,FALSE,"Clear to partly cloudy",0.76,0.697,0.52,0,293,13085,7,1
"83","10",TRUE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0,447,13086,7,1
"84","11",TRUE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1343,485,13087,7,1
"85","12",TRUE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2239,494,13088,7,1
"86","13",TRUE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.35,0,499,13089,7,1
"87","14",TRUE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.1642,547,13090,7,1
"88","15",TRUE,FALSE,"Clear to partly cloudy",0.92,0.8485,0.35,0.2985,454,13091,7,1
"89","16",TRUE,FALSE,"Clear to partly cloudy",0.92,0.8485,0.35,0.2537,389,13092,7,1
"90","17",TRUE,FALSE,"Clear to partly cloudy",0.92,0.8485,0.35,0.2985,414,13093,7,1
"91","18",TRUE,FALSE,"Clear to partly cloudy",0.9,0.8485,0.42,0.194,430,13094,7,1
"92","19",TRUE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.2239,432,13095,7,1
"93","20",TRUE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.2239,551,13096,7,1
"94","21",TRUE,FALSE,"Clear to partly cloudy",0.84,0.803,0.53,0.1343,584,13097,7,1
"95","22",TRUE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.2239,502,13098,7,1
"96","23",TRUE,FALSE,"Misty",0.78,0.697,0.43,0.0896,183,13099,7,1
"97","0",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1045,88,13100,7,1
"98","1",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.2836,30,13101,7,1
"99","2",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0,18,13102,7,1
"100","3",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.194,7,13103,7,1
"101","4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,7,13104,7,1
"102","5",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.62,0,29,13105,7,1
"103","6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,133,13106,7,1
"104","7",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.55,0,343,13107,7,1
"105","8",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1343,550,13108,7,1
"106","9",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.2985,293,13109,7,1
"107","10",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.44,0.3582,186,13110,7,1
"108","11",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8182,0.35,0.2985,244,13111,7,1
"109","12",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8182,0.35,0.3582,276,13112,7,1
"110","13",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2239,310,13113,7,1
"111","14",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.3284,241,13114,7,1
"112","15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.3582,254,13115,7,1
"113","16",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2537,433,13116,7,1
"114","17",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8485,0.35,0.1642,689,13117,7,1
"115","18",FALSE,TRUE,"Misty",0.9,0.8333,0.39,0.3284,607,13118,7,1
"116","19",FALSE,TRUE,"Misty",0.88,0.803,0.39,0.2537,503,13119,7,1
"117","20",FALSE,TRUE,"Misty",0.86,0.7879,0.41,0.2239,321,13120,7,1
"118","21",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.194,323,13121,7,1
"119","22",FALSE,TRUE,"Clear to partly cloudy",0.82,0.803,0.59,0.1343,225,13122,7,1
"120","23",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1642,131,13123,7,1
"121","0",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1343,102,13124,7,1
"122","1",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7273,0.55,0.2239,29,13125,7,1
"123","2",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1343,17,13126,7,1
"124","3",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.194,7,13127,7,1
"125","4",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2239,6,13128,7,1
"126","5",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.194,35,13129,7,1
"127","6",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.194,131,13130,7,1
"128","7",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.46,0.1343,353,13131,7,1
"129","8",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.1642,585,13132,7,1
"130","9",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.36,0.1343,304,13133,7,1
"131","10",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7424,0.3,0,210,13134,7,1
"132","11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.0896,233,13135,7,1
"133","12",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7576,0.28,0.1045,331,13136,7,1
"134","13",FALSE,TRUE,"Clear to partly cloudy",0.9,0.7879,0.27,0.1045,293,13137,7,1
"135","14",FALSE,TRUE,"Clear to partly cloudy",0.9,0.803,0.31,0.1642,275,13138,7,1
"136","15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0.194,285,13139,7,1
"137","16",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0.1045,369,13140,7,1
"138","17",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0,576,13141,7,1
"139","18",FALSE,TRUE,"Clear to partly cloudy",0.9,0.803,0.33,0.2537,560,13142,7,1
"140","19",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7879,0.35,0.2239,418,13143,7,1
"141","20",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7727,0.39,0.1045,336,13144,7,1
"142","21",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,300,13145,7,1
"143","22",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.194,288,13146,7,1
"144","23",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7879,0.63,0.1045,164,13147,7,1
"145","0",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.66,0.1343,150,13148,7,1
"146","1",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.7,0.1642,71,13149,7,1
"147","2",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7424,0.72,0.1642,58,13150,7,1
"148","3",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.1343,31,13151,7,1
"149","4",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.1642,16,13152,7,1
"150","5",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.194,14,13153,7,1
"151","6",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.1045,31,13154,7,1
"152","7",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.66,0.1045,71,13155,7,1
"153","8",FALSE,FALSE,"Clear to partly cloudy",0.82,0.8333,0.63,0.194,152,13156,7,1
"154","9",FALSE,FALSE,"Clear to partly cloudy",0.84,0.8333,0.59,0.1642,256,13157,7,1
"155","10",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8636,0.37,0.2239,325,13158,7,1
"156","11",FALSE,FALSE,"Clear to partly cloudy",0.94,0.8788,0.38,0.194,367,13159,7,1
"157","12",FALSE,FALSE,"Clear to partly cloudy",0.96,0.8636,0.31,0.3582,342,13160,7,1
"158","13",FALSE,FALSE,"Misty",0.96,0.8636,0.31,0.2537,360,13161,7,1
"159","14",FALSE,FALSE,"Misty",0.96,0.8636,0.3,0.1343,308,13162,7,1
"160","15",FALSE,FALSE,"Clear to partly cloudy",0.96,0.8485,0.26,0,306,13163,7,1
"161","16",FALSE,FALSE,"Clear to partly cloudy",1,0.8636,0.19,0.1642,294,13164,7,1
"162","17",FALSE,FALSE,"Clear to partly cloudy",0.96,0.8485,0.26,0.1343,279,13165,7,1
"163","18",FALSE,FALSE,"Clear to partly cloudy",0.94,0.8333,0.29,0.0896,277,13166,7,1
"164","19",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.1343,287,13167,7,1
"165","20",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.1642,276,13168,7,1
"166","21",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7879,0.37,0.194,201,13169,7,1
"167","22",FALSE,FALSE,"Clear to partly cloudy",0.84,0.8333,0.59,0.194,220,13170,7,1
"168","23",FALSE,FALSE,"Clear to partly cloudy",0.84,0.8182,0.56,0.1642,148,13171,7,1
"169","0",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.1343,147,13172,7,1
"170","1",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.1045,124,13173,7,1
"171","2",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1045,70,13174,7,1
"172","3",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.1045,35,13175,7,1
"173","4",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.66,0.1045,13,13176,7,1
"174","5",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0,6,13177,7,1
"175","6",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7727,0.7,0.1343,21,13178,7,1
"176","7",FALSE,FALSE,"Clear to partly cloudy",0.8,0.803,0.66,0,52,13179,7,1
"177","8",FALSE,FALSE,"Clear to partly cloudy",0.84,0.803,0.53,0.1343,130,13180,7,1
"178","9",FALSE,FALSE,"Clear to partly cloudy",0.86,0.8182,0.5,0.1045,242,13181,7,1
"179","10",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8636,0.45,0,319,13182,7,1
"180","11",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8939,0.42,0.2985,389,13183,7,1
"181","12",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8939,0.42,0.194,376,13184,7,1
"182","13",FALSE,FALSE,"Clear to partly cloudy",0.94,0.8788,0.38,0.2537,337,13185,7,1
"183","14",FALSE,FALSE,"Clear to partly cloudy",0.96,0.9091,0.36,0.1642,312,13186,7,1
"184","15",FALSE,FALSE,"Light Precipitation",0.92,0.8939,0.42,0.2836,298,13187,7,1
"185","16",FALSE,FALSE,"Misty",0.8,0.803,0.66,0.2239,291,13188,7,1
"186","17",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.59,0,270,13189,7,1
"187","18",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1045,253,13190,7,1
"188","19",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1642,250,13191,7,1
"189","20",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.7,0.0896,285,13192,7,1
"190","21",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.7,0.1343,207,13193,7,1
"191","22",FALSE,FALSE,"Light Precipitation",0.74,0.697,0.7,0.0896,122,13194,7,1
"192","23",FALSE,FALSE,"Light Precipitation",0.68,0.6364,0.83,0.0896,123,13195,7,1
"193","0",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.0896,39,13196,7,1
"194","1",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.89,0.1045,18,13197,7,1
"195","2",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.89,0.194,5,13198,7,1
"196","3",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.89,0.194,5,13199,7,1
"197","4",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.3881,2,13200,7,1
"198","5",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.2239,28,13201,7,1
"199","6",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.2537,92,13202,7,1
"200","7",FALSE,TRUE,"Light Precipitation",0.66,0.6061,0.83,0.2239,230,13203,7,1
"201","8",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1642,455,13204,7,1
"202","9",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1642,363,13205,7,1
"203","10",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.194,175,13206,7,1
"204","11",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.1343,216,13207,7,1
"205","12",FALSE,TRUE,"Misty",0.74,0.6818,0.58,0.1343,266,13208,7,1
"206","13",FALSE,TRUE,"Misty",0.76,0.697,0.55,0.2537,255,13209,7,1
"207","14",FALSE,TRUE,"Misty",0.74,0.6818,0.55,0.2537,242,13210,7,1
"208","15",FALSE,TRUE,"Misty",0.76,0.6818,0.45,0.2239,280,13211,7,1
"209","16",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.2836,413,13212,7,1
"210","17",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.1642,849,13213,7,1
"211","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.48,0.1343,872,13214,7,1
"212","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.55,0.1642,631,13215,7,1
"213","20",FALSE,TRUE,"Misty",0.74,0.6818,0.55,0.1045,447,13216,7,1
"214","21",FALSE,TRUE,"Misty",0.74,0.6818,0.55,0.0896,331,13217,7,1
"215","22",FALSE,TRUE,"Misty",0.72,0.6667,0.58,0.1045,224,13218,7,1
"216","23",FALSE,TRUE,"Misty",0.7,0.6515,0.65,0.1045,131,13219,7,1
"217","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.7,0.0896,69,13220,7,1
"218","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1343,15,13221,7,1
"219","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1343,16,13222,7,1
