  status      age total_length wingspan weight beak_head humerus femur
1  Survived    adult          154      241   24.5      31.2    0.69  0.67
2  Survived    adult          160      252   26.9      30.8    0.74  0.71
3  Survived    adult          155      243   26.9      30.6    0.73  0.70
4  Survived    adult          154      245   24.3      31.7    0.74  0.69
5  Survived    adult          156      247   24.1      31.5    0.71  0.71
6  Survived    adult          161      253   26.5      31.8    0.78  0.74
7  Survived    adult          157      251   24.6      31.1    0.74  0.74
8  Survived    adult          159      247   24.2      31.4    0.73  0.72
9  Survived    adult          158      247   23.6      29.8    0.70  0.67
10 Survived    adult          158      252   26.2      32.0    0.75  0.74
11 Survived    adult          160      252   26.2      32.0    0.74  0.72
12 Survived    adult          162      253   24.8      32.3    0.77  0.75
13 Survived    adult          161      243   25.4      31.8    0.72  0.72
14 Survived    adult          160      250   23.7      29.8    0.73  0.70
15 Survived    adult          159      247   25.7      31.4    0.73  0.72
16 Survived    adult          158      253   25.7      31.9    0.74  0.70
17 Survived    adult          159      247   26.5      31.6    0.73  0.71
18 Survived    adult          166      253   26.7      32.5    0.77  0.76
19 Survived    adult          159      247   23.9      31.4    0.75  0.72
20 Survived    adult          160      248   24.7      31.3    0.75  0.74
21 Survived    adult          161      252   28.0      31.8    0.77  0.73
22 Survived    adult          163      251   27.9      31.9    0.77  0.75
23 Survived    adult          156      242   25.9      32.0    0.72  0.71
24 Survived    adult          165      251   25.7      32.2    0.75  0.74
25 Survived    adult          160      247   26.6      32.4    0.73  0.71
26 Survived    adult          158      244   23.2      31.6    0.73  0.71
27 Survived    adult          160      242   25.7      31.6    0.71  0.70
28 Survived    adult          157      245   26.3      32.2    0.74  0.73
29 Survived    adult          159      244   24.3      31.5    0.72  0.70
30 Survived    adult          160      253   26.7      32.1    0.74  0.71
31 Survived    adult          158      245   24.9      31.4    0.73  0.70
32 Survived    adult          161      247   23.8      31.4    0.74  0.69
33 Survived    adult          160      247   25.6      32.3    0.76  0.75
34 Survived    adult          160      247   27.0      32.0    0.75  0.74
35 Survived    adult          153      241   24.7      32.2    0.73  0.68
36 Perished    adult          165      249   26.5      31.0    0.74  0.70
37 Perished    adult          160      245   26.1      32.0    0.74  0.71
38 Perished    adult          161      249   25.6      32.3    0.74  0.72
39 Perished    adult          162      246   25.9      32.3    0.74  0.71
40 Perished    adult          163      250   25.5      32.5    0.75  0.73
41 Perished    adult          162      247   27.6      31.8    0.73  0.72
42 Perished    adult          163      246   25.8      31.4    0.69  0.66
43 Perished    adult          161      246   24.9      30.5    0.74  0.73
44 Perished    adult          160      242   26.0      31.0    0.75  0.71
45 Perished    adult          162      246   26.5      31.5    0.72  0.70
46 Perished    adult          160      249   26.0      31.4    0.73  0.69
47 Perished    adult          161      250   27.1      31.6    0.74  0.71
48 Perished    adult          162      248   25.1      31.9    0.74  0.72
49 Perished    adult          165      252   26.0      32.3    0.73  0.71
50 Perished    adult          161      243   25.6      32.5    0.71  0.71
51 Perished    adult          161      244   25.0      31.3    0.70  0.69
52 Perished    adult          162      248   24.6      31.0    0.71  0.70
53 Perished    adult          164      244   25.0      31.2    0.70  0.69
54 Perished    adult          158      247   26.0      32.0    0.73  0.71
55 Perished    adult          162      253   28.3      31.8    0.75  0.72
56 Perished    adult          156      239   24.6      30.5    0.66  0.66
57 Perished    adult          166      251   27.5      31.5    0.72  0.69
58 Perished    adult          165      253   31.0      32.4    0.76  0.75
59 Perished    adult          166      250   28.3      32.4    0.75  0.72
60 Survived juvenile          156      246   24.6      32.0    0.74  0.74
61 Survived juvenile          156      245   25.5      32.1    0.76  0.72
62 Survived juvenile          163      248   24.8      32.2    0.74  0.73
63 Survived juvenile          163      248   26.3      33.0    0.74  0.70
64 Survived juvenile          160      250   24.4      31.5    0.75  0.71
65 Survived juvenile          156      237   23.3      30.6    0.69  0.66
66 Survived juvenile          162      253   26.7      32.0    0.76  0.73
67 Survived juvenile          163      254   26.4      32.0    0.77  0.75
68 Survived juvenile          164      251   26.9      32.0    0.75  0.74
69 Survived juvenile          163      244   24.3      31.3    0.72  0.68
70 Survived juvenile          160      247   27.0      31.5    0.76  0.73
71 Survived juvenile          160      250   26.8      32.5    0.76  0.73
72 Survived juvenile          158      247   24.9      32.4    0.75  0.72
73 Survived juvenile          158      249   26.1      32.2    0.74  0.74
74 Survived juvenile          158      243   26.6      32.4    0.75  0.71
75 Survived juvenile          155      237   23.3      30.2    0.69  0.65
76 Perished juvenile          160      249   24.0      30.4    0.74  0.72
77 Perished juvenile          156      236   26.8      30.2    0.69  0.67
78 Perished juvenile          158      240   23.5      31.0    0.71  0.70
79 Perished juvenile          166      245   26.9      31.7    0.71  0.69
80 Perished juvenile          165      255   28.6      31.5    0.77  0.74
81 Perished juvenile          157      238   24.7      31.2    0.68  0.68
82 Perished juvenile          164      250   27.3      31.8    0.76  0.73
83 Perished juvenile          166      256   25.7      31.7    0.75  0.75
84 Perished juvenile          167      255   29.0      32.2    0.76  0.75
85 Perished juvenile          161      246   25.0      31.5    0.74  0.71
86 Perished juvenile          166      254   27.5      31.4    0.76  0.74
87 Perished juvenile          161      251   26.0      31.5    0.73  0.71
